product_id,product_name,coverage_type,destination_country,risk_level,age_group,health_condition,duration,premium_eur,max_coverage_eur,deductible_eur
ALZ-1000,Allianz Explorer Shield,Медичне страхування,Індонезія,Критичний,18-25,Здоровий,14 днів,965.93,10000,0
ALZ-1001,Allianz Emergency Assist,Комплексне покриття,Танзанія,Високий,46-55,Діабет,60 днів,567.37,250000,500
ALZ-1002,Allianz Travel Plus,Страхування багажу,Індонезія,Критичний,18-25,Серцево-судинні,30 днів,1681.67,100000,500
ALZ-1003,Allianz Travel Plus,Комплексне покриття,Бразилія,Середній,46-55,Хронічні захворювання,7 днів,356.55,10000,100
ALZ-1004,Allianz Adventure Pack,Відміна подорожі,Болівія,Середній,18-25,Алергії,60 днів,179.29,100000,50
ALZ-1005,Allianz Adventure Pack,Відміна подорожі,Бразилія,Високий,56-65,Діабет,30 днів,696.67,10000,0
ALZ-1006,Allianz Medical Evacuation,Комплексне покриття,Колумбія,Критичний,56-65,Алергії,7 днів,1241.21,25000,50
ALZ-1007,Allianz Tropical Cover,Медичне страхування,Кенія,Високий,56-65,Серцево-судинні,30 днів,574.8,50000,200
ALZ-1008,Allianz Global Care,Евакуація та репатріація,Індонезія,Середній,18-25,Здоровий,30 днів,137.97,25000,0
ALZ-1009,Allianz Tropical Cover,Евакуація та репатріація,Кенія,Середній,36-45,Хронічні захворювання,7 днів,289.03,100000,200
ALZ-1010,Allianz Health Guard,Комплексне покриття,Єгипет,Високий,18-25,Серцево-судинні,7 днів,631.96,100000,0
ALZ-1011,Allianz Adventure Pack,Медичне страхування,Перу,Середній,65+,Алергії,21 день,217.86,50000,0
ALZ-1012,Allianz Emergency Assist,Медичне страхування,В'єтнам,Високий,65+,Здоровий,7 днів,794.51,10000,0
ALZ-1013,Allianz Adventure Pack,Відміна подорожі,Колумбія,Високий,18-25,Алергії,21 день,299.84,50000,0
ALZ-1014,Allianz Medical Evacuation,Страхування від нещасних випадків,Індонезія,Критичний,56-65,Серцево-судинні,21 день,1821.57,10000,200
ALZ-1015,Allianz Adventure Pack,Евакуація та репатріація,Індонезія,Середній,18-25,Серцево-судинні,60 днів,241.75,50000,50
ALZ-1016,Allianz Tropical Cover,Комплексне покриття,Перу,Середній,65+,Хронічні захворювання,60 днів,585.4,250000,200
ALZ-1017,Allianz Emergency Assist,Страхування від нещасних випадків,Таїланд,Критичний,26-35,Діабет,21 день,1649.46,250000,50
ALZ-1018,Allianz Travel Premium,Страхування від нещасних випадків,Індія,Середній,56-65,Серцево-судинні,21 день,405.77,50000,100
ALZ-1019,Allianz Health Guard,Страхування багажу,Кенія,Середній,46-55,Діабет,90 днів,305.37,50000,100
ALZ-1020,Allianz Emergency Assist,Комплексне покриття,Болівія,Середній,26-35,Діабет,60 днів,244.39,50000,50
ALZ-1021,Allianz Travel Basic,Страхування багажу,Індія,Середній,65+,Алергії,90 днів,421.28,25000,50
ALZ-1022,Allianz Global Care,Евакуація та репатріація,Колумбія,Критичний,36-45,Діабет,7 днів,1070.29,25000,0
ALZ-1023,Allianz Tropical Cover,Страхування від нещасних випадків,В'єтнам,Низький,46-55,Здоровий,30 днів,90.63,50000,200
ALZ-1024,Allianz Travel Premium,Страхування багажу,Бразилія,Середній,56-65,Здоровий,90 днів,274.47,50000,100
ALZ-1025,Allianz Travel Basic,Евакуація та репатріація,Болівія,Критичний,46-55,Хронічні захворювання,60 днів,2034.35,25000,50
ALZ-1026,Allianz Explorer Shield,Медичне страхування,Індія,Середній,26-35,Серцево-судинні,7 днів,209.6,25000,200
ALZ-1027,Allianz Health Guard,Страхування від нещасних випадків,Індонезія,Критичний,65+,Серцево-судинні,7 днів,1883.03,25000,50
ALZ-1028,Allianz Travel Plus,Комплексне покриття,В'єтнам,Високий,46-55,Діабет,60 днів,693.53,25000,100
ALZ-1029,Allianz Medical Evacuation,Медичне страхування,Перу,Критичний,18-25,Алергії,90 днів,905.67,50000,50
ALZ-1030,Allianz Medical Evacuation,Страхування від нещасних випадків,Конго,Критичний,46-55,Хронічні захворювання,60 днів,1167.09,100000,50
ALZ-1031,Allianz Travel Plus,Страхування багажу,Перу,Високий,26-35,Хронічні захворювання,14 днів,655.25,100000,0
ALZ-1032,Allianz Medical Evacuation,Евакуація та репатріація,Конго,Критичний,36-45,Діабет,60 днів,1840.84,100000,500
ALZ-1033,Allianz Travel Plus,Відміна подорожі,Колумбія,Високий,18-25,Серцево-судинні,7 днів,752.16,50000,100
ALZ-1034,Allianz Emergency Assist,Відміна подорожі,Індія,Середній,26-35,Серцево-судинні,60 днів,329.76,25000,100
ALZ-1035,Allianz Health Guard,Медичне страхування,Таїланд,Середній,65+,Здоровий,14 днів,242.45,50000,50
ALZ-1036,Allianz Adventure Pack,Відміна подорожі,Кенія,Високий,65+,Алергії,60 днів,783.19,10000,0
ALZ-1037,Allianz Adventure Pack,Комплексне покриття,В'єтнам,Середній,18-25,Здоровий,30 днів,161.29,250000,0
ALZ-1038,Allianz Travel Premium,Страхування від нещасних випадків,Танзанія,Середній,18-25,Хронічні захворювання,7 днів,189.66,100000,50
ALZ-1039,Allianz Global Care,Страхування від нещасних випадків,Конго,Критичний,46-55,Здоровий,7 днів,1145.6,100000,50
ALZ-1040,Allianz Explorer Shield,Комплексне покриття,Кенія,Середній,18-25,Хронічні захворювання,14 днів,211.65,100000,200
ALZ-1041,Allianz Travel Basic,Страхування багажу,Камбоджа,Високий,18-25,Хронічні захворювання,7 днів,335.52,10000,500
ALZ-1042,Allianz Adventure Pack,Страхування багажу,Єгипет,Високий,65+,Діабет,7 днів,1129.02,25000,0
ALZ-1043,Allianz Travel Premium,Медичне страхування,Індонезія,Критичний,56-65,Хронічні захворювання,7 днів,1258.98,100000,500
ALZ-1044,Allianz Travel Basic,Страхування від нещасних випадків,Мадагаскар,Критичний,18-25,Хронічні захворювання,21 день,913.83,50000,500
ALZ-1045,Allianz Explorer Shield,Страхування багажу,Таїланд,Середній,46-55,Діабет,14 днів,175.43,25000,50
ALZ-1046,Allianz Health Guard,Комплексне покриття,Індія,Високий,26-35,Здоровий,21 день,440.83,25000,100
ALZ-1047,Allianz Medical Evacuation,Відміна подорожі,Єгипет,Критичний,18-25,Серцево-судинні,7 днів,1425.35,100000,200
ALZ-1048,Allianz Health Guard,Евакуація та репатріація,Таїланд,Критичний,65+,Діабет,30 днів,2158.72,25000,200
ALZ-1049,Allianz Travel Plus,Евакуація та репатріація,Болівія,Критичний,56-65,Діабет,21 день,1764.54,50000,50
